Taxon,Group
Heniochus_diphreutes,Actinopterygii
Heniochus_acuminatus,Actinopterygii
Heniochus_varius,Actinopterygii
Heniochus_pleurotaenia,Actinopterygii
Hemitaurichthys_thompsoni,Actinopterygii
Hemitaurichthys_zoster,Actinopterygii
Hemitaurichthys_polylepis,Actinopterygii
Forcipiger_flavissimus,Actinopterygii
Forcipiger_longirostris,Actinopterygii
Gazza_squamiventralis,Actinopterygii
Gazza_rhombea,Actinopterygii
Gazza_dentex,Actinopterygii
Gazza_achlamys,Actinopterygii
Gazza_minuta,Actinopterygii
Leiognathus_ruconius,Actinopterygii
Deveximentum_hanedai,Actinopterygii
Deveximentum_megalolepis,Actinopterygii
Deveximentum_insidiator,Actinopterygii
Deveximentum_indicium,Actinopterygii
Photopectoralis_bindus,Actinopterygii
Photopectoralis_cf._aureus_MPD-2011,Actinopterygii
Photopectoralis_aureus,Actinopterygii
Photopectoralis_sp._Okinawa/Taiwan,Actinopterygii
Photopectoralis_panayensis,Actinopterygii
Eubleekeria_splendens,Actinopterygii
Eubleekeria_jonesi,Actinopterygii
Karalla_daura,Actinopterygii
Karalla_dussumieri,Actinopterygii
Nuchequula_blochii,Actinopterygii
Nuchequula_gerreoides,Actinopterygii
Nuchequula_nuchalis,Actinopterygii
Nuchequula_decora,Actinopterygii
Nuchequula_mannusella,Actinopterygii
Equulites_leuciscus,Actinopterygii
Equulites_rivulatus,Actinopterygii
Equulites_elongatus,Actinopterygii
Equulites_laterofenestra,Actinopterygii
Equulites_lineolatus,Actinopterygii
Equulites_stercorarius,Actinopterygii
Leiognathus_equula,Actinopterygii
Leiognathus_sp._Fiji,Actinopterygii
Leiognathus_robustus,Actinopterygii
Aurigequula_fasciata,Actinopterygii
Aurigequula_longispina,Actinopterygii
Centropyge_colini,Actinopterygii
Centropyge_narcosis,Actinopterygii
Centropyge_multicolor,Actinopterygii
Centropyge_interrupta,Actinopterygii
Centropyge_bispinosa,Actinopterygii
Centropyge_ferrugata,Actinopterygii
Centropyge_loriculus,Actinopterygii
Centropyge_potteri,Actinopterygii
Centropyge_acanthops,Actinopterygii
Centropyge_argi,Actinopterygii
Centropyge_aurantonotus,Actinopterygii
Centropyge_flavicauda,Actinopterygii
Genicanthus_caudovittatus,Actinopterygii
Genicanthus_melanospilos,Actinopterygii
Genicanthus_bellus,Actinopterygii
Genicanthus_watanabei,Actinopterygii
Genicanthus_lamarck,Actinopterygii
Paracentropyge,Actinopterygii
Centropyge_multispinis,Actinopterygii
Apolemichthys_xanthurus,Actinopterygii
Apolemichthys_trimaculatus,Actinopterygii
Apolemichthys_kingi,Actinopterygii
Centropyge_multifasciata,Actinopterygii
Centropyge_venusta,Actinopterygii
Centropyge_boylei,Actinopterygii
Pygoplites_diacanthus,Actinopterygii
Centropyge_aurantia,Actinopterygii
Centropyge_bicolor,Actinopterygii
Centropyge_heraldi,Actinopterygii
Centropyge_nox,Actinopterygii
Centropyge_flavipectoralis,Actinopterygii
Centropyge_tibicen,Actinopterygii
Centropyge_vrolikii,Actinopterygii
Centropyge_flavissima,Actinopterygii
Centropyge_eibli,Actinopterygii
Holacanthus_africanus,Actinopterygii
Holacanthus_bermudensis,Actinopterygii
Holacanthus_ciliaris,Actinopterygii
Holacanthus_clarionensis,Actinopterygii
Holacanthus_limbaughi,Actinopterygii
Holacanthus_passer,Actinopterygii
Holacanthus_tricolor,Actinopterygii
Pomacanthus_paru,Actinopterygii
Pomacanthus_arcuatus,Actinopterygii
Pomacanthus_zonipectus,Actinopterygii
Pomacanthus_imperator,Actinopterygii
Pomacanthus_annularis,Actinopterygii
Pomacanthus_maculosus,Actinopterygii
Pomacanthus_rhomboides,Actinopterygii
Pomacanthus_chrysurus,Actinopterygii
Pomacanthus_semicirculatus,Actinopterygii
Pomacanthus_asfur,Actinopterygii
Pomacanthus_xanthometopon,Actinopterygii
Pomacanthus_sexstriatus,Actinopterygii
Pomacanthus_navarchus,Actinopterygii
Chaetodontoplus_mesoleucus,Actinopterygii
Chaetodontoplus_duboulayi,Actinopterygii
Chaetodontoplus_septentrionalis,Actinopterygii
Chaetodontoplus_caeruleopunctatus,Actinopterygii
Chaetodontoplus_meredithi,Actinopterygii
Chaetodontoplus_melanosoma,Actinopterygii
Luvarus_imperialis,Actinopterygii
Zanclus_cornutus,Actinopterygii
Prionurus_microlepidotus,Actinopterygii
Prionurus_chrysurus,Actinopterygii
Prionurus_maculatus,Actinopterygii
Prionurus_scalprum,Actinopterygii
Prionurus_punctatus,Actinopterygii
Prionurus_laticlavius,Actinopterygii
Prionurus_biafraensis,Actinopterygii
Zebrasoma_rostratum,Actinopterygii
Zebrasoma_scopas,Actinopterygii
Zebrasoma_flavescens,Actinopterygii
Zebrasoma_gemmatum,Actinopterygii
Zebrasoma_desjardinii,Actinopterygii
Zebrasoma_velifer,Actinopterygii
Paracanthurus_hepatus,Actinopterygii
Acanthurus_guttatus,Actinopterygii
Acanthurus_coeruleus,Actinopterygii
Acanthurus_nigricans,Actinopterygii
Acanthurus_japonicus,Actinopterygii
Acanthurus_achilles,Actinopterygii
Acanthurus_leucosternon,Actinopterygii
Acanthurus_nigrofuscus,Actinopterygii
Acanthurus_nigroris,Actinopterygii
Acanthurus_lineatus,Actinopterygii
Acanthurus_auranticavus,Actinopterygii
Acanthurus_leucocheilus,Actinopterygii
Acanthurus_nigricauda,Actinopterygii
Acanthurus_mata,Actinopterygii
Acanthurus_blochii,Actinopterygii
Acanthurus_xanthopterus,Actinopterygii
Acanthurus_dussumieri,Actinopterygii
Acanthurus_bariene,Actinopterygii
Acanthurus_olivaceus,Actinopterygii
Acanthurus_tennentii,Actinopterygii
Acanthurus_chirurgus,Actinopterygii
Acanthurus_bahianus,Actinopterygii
Acanthurus_tractus,Actinopterygii
Acanthurus_monroviae,Actinopterygii
Acanthurus_nubilus,Actinopterygii
Ctenochaetus_flavicauda,Actinopterygii
Ctenochaetus_truncatus,Actinopterygii
Ctenochaetus_strigosus,Actinopterygii
Ctenochaetus_binotatus,Actinopterygii
Ctenochaetus_tominiensis,Actinopterygii
Ctenochaetus_cyanocheilus,Actinopterygii
Acanthurus_pyroferus,Actinopterygii
Ctenochaetus_striatus,Actinopterygii
Ctenochaetus_hawaiiensis,Actinopterygii
Acanthurus_thompsoni,Actinopterygii
Acanthurus_triostegus,Actinopterygii
Acanthurus_polyzona,Actinopterygii
Naso_vlamingii,Actinopterygii
Naso_brevirostris,Actinopterygii
Naso_caesius,Actinopterygii
Naso_hexacanthus,Actinopterygii
Naso_elegans,Actinopterygii
Naso_lituratus,Actinopterygii
Naso_unicornis,Actinopterygii
Naso_reticulatus,Actinopterygii
Naso_maculatus,Actinopterygii
Naso_annulatus,Actinopterygii
Naso_brachycentron,Actinopterygii
Naso_mcdadei,Actinopterygii
Naso_fageni,Actinopterygii
Naso_tonganus,Actinopterygii
Naso_tuberosus,Actinopterygii
Naso_lopezi,Actinopterygii
Naso_thynnoides,Actinopterygii
Naso_caeruleacauda,Actinopterygii
Naso_minor,Actinopterygii
Caulolatilus_princeps,Actinopterygii
Caulolatilus_intermedius,Actinopterygii
Caulolatilus_affinis,Actinopterygii
Hoplolatilus_chlupatyi,Actinopterygii
Malacanthus_brevirostris,Actinopterygii
Malacanthus_plumieri,Actinopterygii
Malacanthus_latovittatus,Actinopterygii
Branchiostegus_argentatus,Actinopterygii
Branchiostegus_wardi,Actinopterygii
Branchiostegus_albus,Actinopterygii
Branchiostegus_japonicus,Actinopterygii
Branchiostegus_auratus,Actinopterygii
Branchiostegus_doliatus,Actinopterygii
